"Tejada, Luis M", 97404
"Testaverde, Anthony", 25390
"Thomas, Saundra P", 89637
"Thompkins, Cynthia", 59416
"Thompson, Jr., William C", 4517186
"Thompson, Mark P", 20172
"Tillard, Conrad", 49551
"Torodash, Jon", 13945
"Torres, Ritchie", 99160
"Torres, Thomas", 28269
"Treybich, Michael", 67021
"Treyger, Mark", 58276
"Ulrich, Eric A", 61186
"Vacca, James", 237330
"Vallone, Jr., Peter F", 1346685
"Vallone, Paul A", 205290
"Van Bramer, James G", 144025
"Vanel, Clyde", 16108
"Vargas, Ruben Dario", 16200
"Velez, Jose", 100
"Veras, Andrea M", 51842
"Vigueras, Jessica D", 3745
"Voskerichian, Chrissy", 21293
"Wai, Sidique A", 36611
"Walsh, Christopher", 22496
"Washington, Monique", 3760
"Waterman, Robert M", 61656
"Weiner, Anthony D", 4305428
"Weprin, Mark S", 211213
"Whitehead, John C", 150680
"Williams, Godwin", 41646
"Williams, Jumaane D", 130282
"Wills, Ruben W", 20244
"Winslow, Christina", 31163
"Wright, Byron J", 8277
"Wright, Ryan D", 25140
"Wymore, Mel", 209022
"Yeh, Hank C", 275
"de Blasio, Bill", 10074412
